source,target,value
Donor Supports,Yes vote on bill,51400
Tom Cotton,Donor Supports,51400
Senate Conservatives Fund,Tom Cotton,51400
Donor Supports,Yes vote on bill,121375
Jeff Flake,Donor Supports,121375
Senate Conservatives Fund,Jeff Flake,121375
Donor Supports,Yes vote on bill,196585
Ted Cruz,Donor Supports,196585
Senate Conservatives Fund,Ted Cruz,196585
Donor Supports,No vote on bill,69600
Harry Reid,Donor Supports,69600
Laborers Union,Harry Reid,69600
Donor Supports,No vote on bill,19500
Barbara Boxer,Donor Supports,19500
Laborers Union,Barbara Boxer,19500
Donor Supports,No vote on bill,47500
Ed Markey,Donor Supports,47500
Laborers Union,Ed Markey,47500
Donor Supports,Yes vote on bill,15000
Ron Johnson,Donor Supports,15000
American Council Of Engineering Cos,Ron Johnson,15000
Donor Supports,Yes vote on bill,12000
"Addison ""Mitch"" McConnell",Donor Supports,12000
American Council Of Engineering Cos,"Addison ""Mitch"" McConnell",12000
Donor Supports,Yes vote on bill,22000
Cory Gardner,Donor Supports,22000
American Council Of Engineering Cos,Cory Gardner,22000
Donor Supports,Yes vote on bill,7000
Patrick J. Toomey,Donor Supports,7000
American Council Of Engineering Cos,Patrick J. Toomey,7000
Donor Supports,Yes vote on bill,19000
Roy Blunt,Donor Supports,19000
American Council Of Engineering Cos,Roy Blunt,19000
Donor Supports,No vote on bill,10500
Harry Reid,Donor Supports,10500
American Council Of Engineering Cos,Harry Reid,10500
Donor Supports,Yes vote on bill,13500
John Cornyn,Donor Supports,13500
American Council Of Engineering Cos,John Cornyn,13500
Donor Supports,Yes vote on bill,10000
Jeff Flake,Donor Supports,10000
American Council Of Engineering Cos,Jeff Flake,10000
Donor Supports,Yes vote on bill,21000
Mark Kirk,Donor Supports,21000
American Council Of Engineering Cos,Mark Kirk,21000
Donor Supports,Yes vote on bill,24000
John Thune,Donor Supports,24000
American Council Of Engineering Cos,John Thune,24000
Donor Supports,Yes vote on bill,19000
David Vitter,Donor Supports,19000
American Council Of Engineering Cos,David Vitter,19000
Donor Supports,No vote on bill,10500
Barbara Boxer,Donor Supports,10500
American Council Of Engineering Cos,Barbara Boxer,10500
Donor Supports,No vote on bill,25000
Ed Markey,Donor Supports,25000
American Council Of Engineering Cos,Ed Markey,25000
Donor Supports,Yes vote on bill,15000
Marco Rubio,Donor Supports,15000
American Council Of Engineering Cos,Marco Rubio,15000
Donor Supports,Yes vote on bill,41600
Cory Gardner,Donor Supports,41600
International Franchise Assn,Cory Gardner,41600
Donor Supports,Yes vote on bill,17500
"Addison ""Mitch"" McConnell",Donor Supports,17500
International Franchise Assn,"Addison ""Mitch"" McConnell",17500
Donor Supports,Yes vote on bill,7500
Tom Cotton,Donor Supports,7500
International Franchise Assn,Tom Cotton,7500
Donor Supports,Yes vote on bill,23500
Patrick J. Toomey,Donor Supports,23500
International Franchise Assn,Patrick J. Toomey,23500
Donor Supports,Yes vote on bill,40000
Roy Blunt,Donor Supports,40000
International Franchise Assn,Roy Blunt,40000
Donor Supports,No vote on bill,3000
Harry Reid,Donor Supports,3000
International Franchise Assn,Harry Reid,3000
Donor Supports,Yes vote on bill,7500
John Cornyn,Donor Supports,7500
International Franchise Assn,John Cornyn,7500
Donor Supports,Yes vote on bill,20500
Mark Kirk,Donor Supports,20500
International Franchise Assn,Mark Kirk,20500
Donor Supports,Yes vote on bill,22500
John Thune,Donor Supports,22500
International Franchise Assn,John Thune,22500
Donor Supports,Yes vote on bill,8000
Bill Cassidy,Donor Supports,8000
International Franchise Assn,Bill Cassidy,8000
Donor Supports,Yes vote on bill,11000
David Vitter,Donor Supports,11000
International Franchise Assn,David Vitter,11000
Donor Supports,Yes vote on bill,45000
Rob Portman,Donor Supports,45000
International Franchise Assn,Rob Portman,45000
Donor Supports,No vote on bill,1773
Ed Markey,Donor Supports,1773
International Franchise Assn,Ed Markey,1773
Donor Supports,Yes vote on bill,13000
Ron Johnson,Donor Supports,13000
International Franchise Assn,Ron Johnson,13000
Donor Supports,Yes vote on bill,35700
Marco Rubio,Donor Supports,35700
International Franchise Assn,Marco Rubio,35700
Donor Supports,Yes vote on bill,17500
"Joe Manchin, III",Donor Supports,17500
International Franchise Assn,"Joe Manchin, III",17500
Donor Supports,No vote on bill,30000
Harry Reid,Donor Supports,30000
Carpenters & Joiners Union,Harry Reid,30000
Donor Supports,Yes vote on bill,30000
"Joe Manchin, III",Donor Supports,30000
Carpenters & Joiners Union,"Joe Manchin, III",30000
Donor Supports,No vote on bill,32500
Barbara Boxer,Donor Supports,32500
Carpenters & Joiners Union,Barbara Boxer,32500
Donor Supports,Yes vote on bill,15000
Rob Portman,Donor Supports,15000
Carpenters & Joiners Union,Rob Portman,15000
