id,dollar
,7132
Pryor,800
La Quinta,1000
Corbin,2500
Savage,1000
Huntingdon Valley,2000
Washtucna,5000
Cooperstown,1000
81401,1500
Pleasant Hill,500
Isle Of Palms,4000
East Greenbush,500
Bailey,2000
Marcellus,750
93257,500
Oakdale,1000
Coalville,500
Scottsdale,15450
Okc,36380
Eastborough,7750
Waterloo,1000
Kensington,1000
Montross,2400
GA,2420827
New City,4000
Redding,1500
Mentor,1450
Goshen,2000
Thomas,500
Challis,13800
Sands Point,10400
Sundance,500
Shawnee Mission,4000
Frisco,15650
Lutherville,500
Onalaska,1000
Windsor,400
Villanova,2000
Miami Beach,6300
Blue Ash,1500
Minnetonka,4050
Sebastopol,1300
Walnut Grove,750
Sherman,1500
Metairie,179100
Boise,20140
Hamilton,7700
Chula Vista,1000
Cedar Hill,2000
Scarsdale,19250
Irwin,1000
Burbank,5000
Hoover,2000
Fitchburg,2000
Blanchard,600
Delmont,8200
Las Vegas,130500
Lockport,9200
Manhattan Beach,1000
Scottsboro,500
Quincy,1500
Syosset,1800
Support,2792980
Pasadena,59120
Valatie,3800
Bazine,2000
Placitas,750
Orangevale,1000
Okeechobee,1000
Corning,1000
48362,1200
Cobleskill,12000
Fond Du Lac,7400
Elizabeth City,400
Wauchula,8500
Lake Charles,79632
La Habra Heights,3000
Edmonds,16000
Crowley,3000
Statesboro,6918
Talkeetna,1000
Cherry Hills Villa,1000
Dunwoody,550
Bryn Athyn,9600
45069,5000
Centerville,26000
Cooper City,1000
Grosse Pointe,600
Kingsford,2000
La,2000
Hurricane,250
West Palm Beach,8750
Mandan,7700
Del Mar,2000
Corona Del Mar,5000
Phoenix,43800
LA,2336824
Irving,90450
Irvine,44550
Jordan,500
Cedar Grove,2250
Palm City,300
Sunset Beach,300
Coppell,1000
Sioux Falls,9250
Spring Hill,500
Chesapeake,7100
Duluth,3400
Oak Lawn,3400
95301,250
Avella,750
Ebensburg,4000
Maxwell,500
Longview,20100
Salinas,20050
Cheverly,1250
Williamsville,250
New Rochelle,8800
Kenilworth,14200
Monroe,14100
Pinehurst,2000
Arlington,91300
Montgomery,15700
Newark,1000
Sammamish,1000
Venetia,3000
Charlottesville,15700
Crescent City,500
Palm Beach Gardens,11750
55114,10000
Blaine,1000
Foster City,6000
Rochester Hills,5200
Jonesboro,1000
Vandalia,2000
Mobile,26300
Indialantic,1500
North Prince Georg,500
Dumfries,750
River Forest,3500
Boutte,500
Radnor,500
Fort Worth,404050
Milan,1400
Gretna,24470
Winfield,800
Frankfort,1000
Duncan,1000
Sunnyside,500
Granbury,2000
Evanston,25300
Tiburon,23200
Damascus,1500
Jamestown,10000
 etc.,10950
Kasilof,14400
Aspen,10900
Aubrey,1500
South Lyon,5000
Hot Springs,2000
Chatham,500
Arnaudville,35200
Napoleon,200
Stokesdale,2400
Beavercreek,1000
Iowa City,3900
Watertown,1000
Poland,500
Fair Oaks,500
F0000,500
Clinton,9700
Delray Beach,6300
Croton On Hudson,2936
Owensboro,500
Arlington Heights,6000
49779,1200
Marinette,250
Rancho Santa Fe,11400
Yazoo City,1000
Dacula,500
95548,8500
New Braunfels,400
Halls,7000
46783,400
Deerfield,2000
Pauls Valley,1500
Gastonia,500
Murrysville,7000
Medina,5600
Shreveport,178825
Mesa,2400
Wynne,1500
De Soto,500
West Chester,10500
Rockville,9500
La Crosse,61800
Payette,1000
Sunset,2000
Charleston,74450
Muskogee,13400
Miquon,500
80615,4000
Quogue,2000
Kailua,38550
Cody,4000
Bonner Springs,4600
Americus,4500
Chicago,210800
Farmington,2500
New Hope,500
Dade City,20800
Holly,500
Williams,4000
Stony Brook,3000
Pinedale,600
Devon,3000
Dothan,5200
Los Altos,12000
Bakersfield,17900
Hixson,3000
Ogden,1992
Tesuque,1000
Frederick,4000
Rockville Centre,2000
Minnetrista,7600
Pandora,1000
San Bernardino,500
Brecksville,2100
Ardmore,3000
Lakeside,2500
Kingston,7200
Mayville,500
Corpus Christi,31100
Worthington,21750
New London,500
Ridge,1000
Union,400
Falls Church,29100
Griffin,1000
N Royalton,250
Granite Bay,11900
Federal Heights,250
Sullivans Island,5200
Mcdonough,1000
Lewisville,2500
Amherst,2000
North Myrtle Beach,2000
Nichols Hills,8500
94952,500
Pembroke,300
Bala Cynwyd,4500
Port Lavaca,5200
Wimberley,500
Wailuku,16800
New Albany,3350
Washington,238131
Andover,13000
Downingtown,2500
Jupiter,1000
Rosemount,500
Urbandale,6000
Sanger,7700
Colorado Springs,6332
Ladue,750
Jackson,118850
Crawfordsville,2000
Anderson,31900
43215,4000
Butler,400
Binger,500
El Dorado,34850
Elkins Park,43600
Mckinney,800
Bells,22500
93230,650
Ewa Beach,6600
San Antonio,379535
Minden,10600
Hays,2000
Ponca City,4400
Fairfax Station,10600
Cottage Grove,1200
Los Lunas,500
Loretto,7200
Millersville,2000
Rehoboth Beach,500
Cupertino,3100
Custer,10400
Palm Beach Garden,2000
Wantagh,500
Nowata,500
Rockledge,500
Terra Bella,12900
Logansport,1000
Irvington,4750
Taylorville,1000
Aberdeen,4200
Palm Springs,9400
25130,400
Mccordsville,2000
Fullerton,1500
Frontenac,1000
Forest,5700
Clarence,12400
11747,600
Wintersville,1000
Renfrew,250
Hillard,250
Mamaroneck,6000
Louisburg,2500
CO,4485882
Chesterland,2000
CA,24792485
Philadelphia,154590
Anaheim,25590
Fayetteville,12000
Bozeman,5000
CT,2250
Elgin,750
Conway,8250
Little Elm,200
St Charles,1050
Delano,2500
Sugarloaf,200
Mechanicsburg,750
Altoona,27750
Harrison,26400
Cleveland,24700
Lynwood,500
Simpsonville,11402
Los Gatos,1000
Berwyn,9000
Atwater,5700
Athens,22700
Women's issues,1000
Potomac,14125
Jenks,5125
Moosic,6500
Mishawaka,2150
Woodruff,2000
Apopka,2250
Garden City,11100
San Angelo,2500
VA,5619379
Fountain Hills,250
Oakton,14850
Bristow,8000
99155,13800
San Anselmo,2500
Bristol,3750
Gates,1666
95363,3000
Durango,2600
Clinton Township,2300
Belton,9600
Des Moines,13350
Portland,89810
Roseburg,600
Port Washington,10250
Russell,1380
Williamsburg,3750
Scobey,12500
Lees Summit,30500
Glen Allen,250
Hunt Valley,11200
Kirksville,500
Clarkesville,1000
Ballwin,500
79029,2000
Coto De Caza,1000
Astoria,1500
Flint,1000
Mequon,31200
Tampa,61650
East Rockaway,500
Menlo Park,33600
Corona,1500
Alamo,2000
Cisco,20800
Walnut Creek,5000
Castle Rock,57350
Fresno,47000
Kingsport,2000
Greenlawn,4000
Reinbeck,28200
Swansboro,1000
Macungie,750
Naperville,1000
Warren,2000
Caldwell,1000
Hillsborough,500
HI,439857
Fargo,51424
Hialeah,4800
Piedmont,9700
Edinburgh,6000
Malibu,500
Saltillo,800
Cuba,4000
Mendota Heights,500
Peoria,13200
East Wenatchee,500
Quarryville,1000
78643,1000
Cool Ridge,2500
Syracuse,26450
Arcadia,1800
East Northport,1000
E1150,7800
Macon,750
Baxter,200
Madison,31450
Mandeville,32400
Westerville,7100
Des Peres,1900
Briarcliff,400
Faison,1000
Babson Park,6000
West Linn,7800
Piney Flats,27500
Dallas,489710
Fairfield,10200
Sitka,2500
Mcleansville,500
Florissant,3000
Ames,1500
Seguin,2200
Homestead,4000
Matteson,500
57243,2000
Oakland Gardens,2600
Peekskill,500
Winter Park,7638
Porterville,400
Golden,14400
Mission Viejo,4750
River Hills,21600
Pleasanton,16400
Frankston,1000
Gaithersburg,13442
Weatherford,500
Vista,2000
Hudson,4750
Carson,250
Gibsonia,1500
Weston,2500
98331,4000
Reynoldsburg,24498
Tracy,260
Mount Vernon,1000
Iron Mountain,500
95692,2000
Lincoln City,400
Wilmington,26850
Melbourne,6500
Colwich,9600
Palo Alto,66900
Norcross,10000
Murrells Inlet,1000
Iroquois,500
New Castle,2000
Tupelo,58100
Clifton,500
Mission,6000
Valier,2500
Keller,10000
Oppose,66457
Manhasset,3500
Indiana,24600
Jonesborough,14500
Columbia,35200
Daingerfield,7500
Verona,500
El Sobrante,1000
Signal Hill,500
Winston-salem,1350
El Paso,33150
Ladera Ranch,1000
Yuma,1000
Atlanta,57250
71342,1000
Easton,2000
Scranton,4000
