source,target,value
Donor Opposes,Yes vote on bill,4999
John K. Delaney,Donor Opposes,4999
American Institute Of Cpas,John K. Delaney,4999
Donor Opposes,Yes vote on bill,10000
Jim Himes,Donor Opposes,10000
American Institute Of Cpas,Jim Himes,10000
Donor Opposes,Yes vote on bill,7499
Ann Wagner,Donor Opposes,7499
American Institute Of Cpas,Ann Wagner,7499
Donor Opposes,Yes vote on bill,15000
Peter J. Roskam,Donor Opposes,15000
American Institute Of Cpas,Peter J. Roskam,15000
Donor Opposes,Yes vote on bill,15000
Erik Paulsen,Donor Opposes,15000
American Institute Of Cpas,Erik Paulsen,15000
Donor Opposes,Yes vote on bill,10000
Patrick Murphy,Donor Opposes,10000
American Institute Of Cpas,Patrick Murphy,10000
Donor Opposes,No vote on bill,9500
Steny H. Hoyer,Donor Opposes,9500
American Institute Of Cpas,Steny H. Hoyer,9500
Donor Opposes,Yes vote on bill,2500
Sean Patrick Maloney,Donor Opposes,2500
American Institute Of Cpas,Sean Patrick Maloney,2500
Donor Opposes,Yes vote on bill,7609
Steve Stivers,Donor Opposes,7609
American Institute Of Cpas,Steve Stivers,7609
Donor Opposes,No vote on bill,3500
Joseph P. Kennedy III,Donor Opposes,3500
American Institute Of Cpas,Joseph P. Kennedy III,3500
Donor Opposes,Yes vote on bill,15000
Paul Ryan,Donor Opposes,15000
American Institute Of Cpas,Paul Ryan,15000
Donor Opposes,Yes vote on bill,1500
Mike Coffman,Donor Opposes,1500
American Institute Of Cpas,Mike Coffman,1500
Donor Opposes,No vote on bill,10000
Joe Crowley,Donor Opposes,10000
American Institute Of Cpas,Joe Crowley,10000
Donor Opposes,Yes vote on bill,9999
Jeb Hensarling,Donor Opposes,9999
American Institute Of Cpas,Jeb Hensarling,9999
Donor Opposes,Yes vote on bill,10000
Kevin McCarthy,Donor Opposes,10000
American Institute Of Cpas,Kevin McCarthy,10000
Donor Opposes,no vote,10000
John A. Boehner,Donor Opposes,10000
American Institute Of Cpas,John A. Boehner,10000
Donor Opposes,No vote on bill,1000
Suzan K. DelBene,Donor Opposes,1000
American Institute Of Cpas,Suzan K. DelBene,1000
Donor Opposes,Yes vote on bill,6500
Pat Tiberi,Donor Opposes,6500
American Institute Of Cpas,Pat Tiberi,6500
Donor Opposes,Yes vote on bill,8427
Ed Royce,Donor Opposes,8427
American Institute Of Cpas,Ed Royce,8427
Donor Opposes,Yes vote on bill,2500
John K. Delaney,Donor Opposes,2500
Grant Thornton Llp,John K. Delaney,2500
Donor Opposes,Yes vote on bill,10000
Kevin McCarthy,Donor Opposes,10000
Grant Thornton Llp,Kevin McCarthy,10000
Donor Opposes,Yes vote on bill,5000
Erik Paulsen,Donor Opposes,5000
Grant Thornton Llp,Erik Paulsen,5000
Donor Opposes,no vote,5000
John A. Boehner,Donor Opposes,5000
Grant Thornton Llp,John A. Boehner,5000
Donor Opposes,Yes vote on bill,2000
Ann Wagner,Donor Opposes,2000
Grant Thornton Llp,Ann Wagner,2000
Donor Opposes,Yes vote on bill,2000
Steve Stivers,Donor Opposes,2000
Grant Thornton Llp,Steve Stivers,2000
Donor Opposes,Yes vote on bill,5000
Patrick Murphy,Donor Opposes,5000
Grant Thornton Llp,Patrick Murphy,5000
Donor Opposes,Yes vote on bill,2000
Paul Ryan,Donor Opposes,2000
Grant Thornton Llp,Paul Ryan,2000
Donor Opposes,Yes vote on bill,4000
Pat Tiberi,Donor Opposes,4000
Grant Thornton Llp,Pat Tiberi,4000
Donor Opposes,Yes vote on bill,7000
Ed Royce,Donor Opposes,7000
Grant Thornton Llp,Ed Royce,7000
Donor Opposes,Yes vote on bill,9350
Jeb Hensarling,Donor Opposes,9350
Grant Thornton Llp,Jeb Hensarling,9350
Donor Opposes,Yes vote on bill,7500
Peter J. Roskam,Donor Opposes,7500
Grant Thornton Llp,Peter J. Roskam,7500
Donor Opposes,No vote on bill,7500
Steny H. Hoyer,Donor Opposes,7500
Grant Thornton Llp,Steny H. Hoyer,7500
Donor Opposes,Yes vote on bill,4000
Jim Himes,Donor Opposes,4000
Microsoft Corp,Jim Himes,4000
Donor Opposes,Yes vote on bill,4000
Erik Paulsen,Donor Opposes,4000
Microsoft Corp,Erik Paulsen,4000
Donor Opposes,No vote on bill,2500
Joseph P. Kennedy III,Donor Opposes,2500
Microsoft Corp,Joseph P. Kennedy III,2500
Donor Opposes,Yes vote on bill,3500
Ann Wagner,Donor Opposes,3500
Microsoft Corp,Ann Wagner,3500
Donor Opposes,No vote on bill,95500
Suzan K. DelBene,Donor Opposes,95500
Microsoft Corp,Suzan K. DelBene,95500
Donor Opposes,No vote on bill,25700
Steny H. Hoyer,Donor Opposes,25700
Microsoft Corp,Steny H. Hoyer,25700
Donor Opposes,Yes vote on bill,2500
Sean Patrick Maloney,Donor Opposes,2500
Microsoft Corp,Sean Patrick Maloney,2500
Donor Opposes,Yes vote on bill,8500
Peter J. Roskam,Donor Opposes,8500
Microsoft Corp,Peter J. Roskam,8500
Donor Opposes,Yes vote on bill,10000
Kevin McCarthy,Donor Opposes,10000
Microsoft Corp,Kevin McCarthy,10000
Donor Opposes,Yes vote on bill,5000
Steve Stivers,Donor Opposes,5000
Microsoft Corp,Steve Stivers,5000
Donor Opposes,Yes vote on bill,3500
Paul Ryan,Donor Opposes,3500
Microsoft Corp,Paul Ryan,3500
Donor Opposes,Yes vote on bill,2000
Mike Coffman,Donor Opposes,2000
Microsoft Corp,Mike Coffman,2000
Donor Opposes,No vote on bill,7500
Joe Crowley,Donor Opposes,7500
Microsoft Corp,Joe Crowley,7500
Donor Opposes,Yes vote on bill,2000
Jeb Hensarling,Donor Opposes,2000
Microsoft Corp,Jeb Hensarling,2000
Donor Opposes,no vote,16600
John A. Boehner,Donor Opposes,16600
Microsoft Corp,John A. Boehner,16600
Donor Opposes,Yes vote on bill,1000
Pat Tiberi,Donor Opposes,1000
Microsoft Corp,Pat Tiberi,1000
Donor Opposes,Yes vote on bill,2250
Ed Royce,Donor Opposes,2250
Microsoft Corp,Ed Royce,2250
Donor Supports,Yes vote on bill,5000
John K. Delaney,Donor Supports,5000
Regions Financial,John K. Delaney,5000
Donor Supports,Yes vote on bill,1000
Erik Paulsen,Donor Supports,1000
Regions Financial,Erik Paulsen,1000
Donor Supports,Yes vote on bill,4000
Ann Wagner,Donor Supports,4000
Regions Financial,Ann Wagner,4000
Donor Supports,Yes vote on bill,10500
Patrick Murphy,Donor Supports,10500
Regions Financial,Patrick Murphy,10500
Donor Supports,No vote on bill,7500
Steny H. Hoyer,Donor Supports,7500
Regions Financial,Steny H. Hoyer,7500
Donor Supports,Yes vote on bill,1000
Sean Patrick Maloney,Donor Supports,1000
Regions Financial,Sean Patrick Maloney,1000
Donor Supports,Yes vote on bill,6000
Steve Stivers,Donor Supports,6000
Regions Financial,Steve Stivers,6000
Donor Supports,Yes vote on bill,1500
